# N = 25000
# Version 1
# p Time Speedup
1 1.038215 1.000000
2 1.324300 0.783973
4 0.480429 2.161017
6 0.587743 1.766444
8 0.158212 6.562179
12 0.112344 9.241392
16 0.084990 12.215764
20 0.087513 11.863558
24 0.075828 13.691699
32 0.068500 15.156469
40 0.069302 14.981061

# Version 2
# p Time Speedup
1 1.192134 1.000000
2 0.561559 2.122901
4 0.292581 4.074542
6 0.242626 4.913464
8 0.163023 7.312673
12 0.106381 11.206274
16 0.100079 11.911922
20 0.082094 14.521538
24 0.082530 14.444851
32 0.077911 15.301247
40 0.074769 15.944223
