# Matrix size: 20000x20000
# Runs: 50
# Threads MeanTime StdDev Speedup Efficiency
  1 2.459276 0.090802 1.0000 100.00%
  2 1.211022 0.047665 2.0307 101.54%
  4 0.622866 0.005951 3.9483 98.71%
  6 0.426400 0.009321 5.7675 96.13%
  8 0.325210 0.007833 7.5621 94.53%
 12 0.230346 0.015435 10.6764 88.97%
 16 0.182658 0.015447 13.4638 84.15%
 20 0.172592 0.037680 14.2491 71.25%
 24 0.179004 0.050690 13.7387 57.24%
 32 0.144324 0.038161 17.0400 53.25%
 40 0.135532 0.023006 18.1454 45.36%

# Matrix size: 40000x40000
# Runs: 50
# Threads MeanTime StdDev Speedup Efficiency
  1 9.787380 0.561161 1.0000 100.00%
  2 4.964830 0.131437 1.9713 98.57%
  4 2.544512 0.052968 3.8465 96.16%
  6 1.701490 0.020317 5.7522 95.87%
  8 1.267458 0.043004 7.7221 96.53%
 12 0.882578 0.058316 11.0895 92.41%
 16 0.735928 0.068168 13.2994 83.12%
 20 0.668902 0.078267 14.6320 73.16%
 24 0.779578 0.017687 12.5547 52.31%
 32 0.690474 0.010265 14.1749 44.30%
 40 0.594390 0.017732 16.4663 41.17%
